"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens","invadeTime","longenough","extinctionTime","totalTime","survivalTime"
"113",0.2,0.01,1,2,8.7,100,1.4e+06,400,20,8000,4e+04,0.2,356.11936522076,TRUE,357.297186569774,836.283903174355,1.17782134901398
"114",0.3,0.01,1,2,11.2,100,1.4e+06,400,20,8000,4e+04,0.2,380.489188989335,TRUE,381.767462142862,880.434221256622,1.27827315352658
"115",0.1,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,316.086011349306,TRUE,317.180971771098,743.856833268124,1.094960421792
"116",0.2,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,324.994961339665,TRUE,326.106781854677,772.649059352723,1.11182051501197
"117",0.3,0.01,1,2,8.3,100,1.4e+06,400,20,8000,4e+04,0.2,375.757923901541,TRUE,377.024871315248,950.290417290861,1.2669474137071
"118",0.1,0.01,1,2,9,100,1.4e+06,400,20,8000,4e+04,0.2,364.188089789398,TRUE,365.427031265798,871.187542416636,1.23894147639999
"119",0.2,0.01,1,2,8.1,100,1.4e+06,400,20,8000,4e+04,0.2,379.75161317321,TRUE,381.11456879446,984.970690367831,1.36295562125014
"120",0.3,0.01,1,2,11.5,100,1.4e+06,400,20,8000,4e+04,0.2,348.871585944686,TRUE,350.009705455692,857.778857699645,1.13811951100638
"121",0.1,0.01,1,2,9.9,100,1.4e+06,400,20,8000,4e+04,0.2,368.024131779386,TRUE,369.266661569998,858.559179858484,1.24252979061265
"122",0.2,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,382.357683569616,TRUE,383.719487053595,978.512623073957,1.36180348397977
"123",0.3,0.01,1,2,10,100,1.4e+06,400,20,8000,4e+04,0.2,394.922458027239,TRUE,396.318215879212,940.38977396745,1.39575785197303
"124",0.1,0.01,1,2,9.4,100,1.4e+06,400,20,8000,4e+04,0.2,364.030902907888,TRUE,365.205554648868,840.765137460938,1.17465174097964
"125",0.2,0.01,1,2,7.6,100,1.4e+06,400,20,8000,4e+04,0.2,375.912554530201,TRUE,377.172544184498,924.648055425571,1.25998965429653
"126",0.3,0.01,1,2,10.1,100,1.4e+06,400,20,8000,4e+04,0.2,365.330206260623,TRUE,366.531801158964,859.648075999078,1.20159489834037
"127",0.1,0.01,1,2,10.4,100,1.4e+06,400,20,8000,4e+04,0.2,361.456710869001,TRUE,362.708465016142,866.766195746557,1.25175414714084
"128",0.2,0.01,1,2,8.4,100,1.4e+06,400,20,8000,4e+04,0.2,350.386793943513,TRUE,351.515033475759,810.379984706895,1.12823953224569
"129",0.3,0.01,1,2,10.7,100,1.4e+06,400,20,8000,4e+04,0.2,352.974465490752,TRUE,354.178709668967,798.674094665885,1.20424417821442
"130",0.1,0.01,2,2,11.2,100,1.4e+06,400,20,8000,4e+04,0.2,394.782732248918,TRUE,396.12174451048,964.224051316609,1.33901226156138
"131",0.2,0.01,1,2,9.5,100,1.4e+06,400,20,8000,4e+04,0.2,369.387277409987,TRUE,370.725536804666,932.407445542917,1.33825939467903
"132",0.3,0.01,1,2,9.7,100,1.4e+06,400,20,8000,4e+04,0.2,370.604088417045,TRUE,371.765177082894,859.607029641062,1.16108866584887
"133",0.1,0.01,1,2,8.9,100,1.4e+06,400,20,8000,4e+04,0.2,366.141083964065,TRUE,367.389179605513,857.750369420482,1.24809564144869
